코드,코드명,최초상장일
A493330,지에프아이,20260114.0
A490470,세미파이브,20251229.0
A491000,리브스메드,20251224.0
A476830,알지노믹스,20251218.0
A478340,나라스페이스테크놀로지,20251217.0
A217590,티엠씨,20251215.0
A464490,쿼드메디슨,20251212.0
A261520,이지스,20251211.0
A950250,테라뷰,20251209.0
A488900,비츠로넥스텍,20251121.0
A388210,씨엠티엑스,20251120.0
A403850,더핑크퐁컴퍼니,20251118.0
A459550,알트,20251117.0
A061090,세나테크놀로지,20251114.0
A494120,큐리오시스,20251113.0
A469610,이노테크,20251107.0
A486990,노타,20251103.0
A014950,삼익제약,20251027.0
A317450,명인제약,20251001.0
A488280,에스투더블유,20250919.0
A342870,오아,20250909.0
A318060,그래피,20250825.0
A397810,애드포러스,20250822.0
A125490,한라캐스트,20250820.0
A484590,삼양컴텍,20250818.0
A456160,지투지바이오,20250814.0
A309710,아이티켐,20250807.0
A439260,대한조선,20250801.0
A468530,프로티나,20250729.0
A475230,엔알비,20250728.0
A380550,뉴로핏,20250725.0
A484120,도우인시스,20250723.0
A331740,아우토크립트,20250715.0
A462310,뉴키즈온,20250709.0
A234030,싸이닉솔루션,20250707.0
A463020,뉴엔AI,20250704.0
A455180,케이지에이,20250617.0
A340450,지씨지놈,20250611.0
A474650,링크솔루션,20250610.0
A475430,키스트론,20250602.0
A287840,인투셀,20250523.0
A483650,달바글로벌,20250522.0
A489460,바이오비쥬,20250520.0
A424870,이뮨온시아,20250519.0
A188040,바이오포트,20250516.0
A125020,티씨머티리얼즈,20250515.0
A376900,로킷헬스케어,20250512.0
A476040,오가노이드사이언스,20250509.0
A136150,원일티엔아이,20250509.0
A459510,나우로보틱스,20250508.0
A364950,에이아이코리아,20250429.0
A081180,쎄크,20250428.0
A481070,에이유브랜즈,20250403.0
A462860,더즌,20250324.0
A444530,심플랫폼,20250321.0
A484810,티엑스알로보틱스,20250320.0
A098070,한텍,20250320.0
A480370,씨케이솔루션,20250317.0
A031210,서울보증보험,20250314.0
A460870,에스엠씨지,20250307.0
A226590,엠디바이스,20250307.0
A393970,대진첨단소재,20250306.0
A435570,에르코스,20250228.0
A489500,엘케이켐,20250225.0
A479960,위너스,20250224.0
A463480,모티브링크,20250220.0
A303810,동국생명과학,20250217.0
A475830,오름테라퓨틱,20250214.0
A240550,동방메디컬,20250213.0
A212710,아이에스티이,20250212.0
A064400,LG씨엔에스,20250205.0
A462980,아이지넷,20250204.0
A452450,피아이이,20250204.0
A482630,삼양엔씨켐,20250203.0
A450950,아스테라시스,20250124.0
A373160,데이원컴퍼니,20250124.0
A096250,와이즈넛,20250124.0
A475460,미트박스,20250123.0
A478560,블랙야크아이앤씨,20250121.0
A432980,엠에프씨,20241226.0
A387570,파인메딕스,20241226.0
A177900,쓰리에이로직스,20241224.0
A499790,GS피앤엘,20241223.0
A476060,온코닉테라퓨틱스,20241219.0
A398120,에스지헬스케어,20241219.0
A382150,온코크로스,20241218.0
A498270,KIWOOM 미국양자컴퓨팅,20241217.0
A457600,벡트,20241216.0
A484870,엠앤씨솔루션,20241216.0
A471820,셀로맥스사이언스,20241213.0
A495710,BNK 26-06 특수채(AAA이상)액티브,20241203.0
A415640,KB발해인프라,20241129.0
A498180,파워 종합채권(AA-이상)액티브,20241126.0
A389680,유디엠텍,20241120.0
A459100,위츠,20241120.0
A474610,RF시스템즈,20241119.0
A466410,사이냅소프트,20241119.0
A475660,에스켐,20241118.0
A413390,엠오티,20241118.0
A394800,쓰리빌리언,20241114.0
A464580,닷밀,20241113.0
A473980,노머스,20241112.0
A163280,에어레인,20241108.0
A475960,토모큐브,20241107.0
A494220,UNICORN SK하이닉스밸류체인액티브,20241107.0
A475560,더본코리아,20241106.0
A376270,HEM파마,20241105.0
A496090,KIWOOM 코리아밸류업,20241104.0
A495330,1Q 코리아밸류업,20241104.0
A495060,TIME 코리아밸류업액티브,20241104.0
A496130,TRUSTON 코리아밸류업액티브,20241104.0
A475580,에이럭스,20241101.0
A336680,탑런토탈솔루션,20241101.0
A458650,성우,20241031.0
A494180,TIME 글로벌소비트렌드액티브,20241029.0
A466100,클로봇,20241028.0
A289930,웨이비스,20241025.0
A475400,씨메스,20241024.0
A457370,한켐,20241022.0
A474170,루미르,20241021.0
A465480,인스피언,20241018.0
A209640,와이제이링크,20241018.0
A308430,셀비온,20241016.0
A492500,1Q 현대차그룹채권(A+이상)&국고통안,20241002.0
A381620,제닉스로보틱스,20240930.0
A489790,한화비전,20240927.0
A351870,차이커뮤니케이션,20240927.0
A491610,1Q CD금리액티브(합성),20240924.0
A491510,파워 K-주주가치액티브,20240924.0
A464500,아이언디바이스,20240923.0
A491700,HK 200,20240910.0
A469750,아이비젼웍스,20240903.0
A461300,아이스크림미디어,20240830.0
A489860,KIWOOM 글로벌전력GRID인프라,20240827.0
A456070,이엔셀,20240823.0
A476080,M83,20240822.0
A464280,티디에스팜,20240821.0
A431190,케이쓰리아이,20240820.0
A389650,넥스트바이오메디컬,20240820.0
A079900,전진건설로봇,20240819.0
A088340,유라클,20240816.0
A199480,뱅크웨어글로벌,20240812.0
A488290,마이다스 일본테크액티브,20240806.0
A460470,아이빔테크놀로지,20240806.0
A460940,피앤에스로보틱스,20240731.0
A062040,산일전기,20240729.0
A487570,HS효성,20240729.0
A487750,BNK 온디바이스AI,20240723.0
A488210,KIWOOM K-반도체북미공급망,20240723.0
A488200,KIWOOM K-2차전지북미공급망,20240723.0
A373110,엑셀세라퓨틱스,20240715.0
A462870,시프트업,20240711.0
A450330,하스,20240703.0
A485810,TIME 글로벌바이오액티브,20240702.0
A462350,이노스페이스,20240702.0
A295310,에이치브이엠,20240628.0
A160190,하이젠알앤엠,20240627.0
A464080,에스오에스랩,20240625.0
A458870,씨어스테크놀로지,20240619.0
A486240,DAISHIN343 AI반도체&인프라액티브,20240618.0
A462510,라메디텍,20240617.0
A453450,그리드위즈,20240614.0
A483030,KIWOOM 미국블록버스터바이오테크의약품+,20240528.0
A483570,KCGI 미국S&P500 TOP10,20240528.0
A483020,KIWOOM 의료AI,20240528.0
A145170,노브랜드,20240523.0
A456010,아이씨티케이,20240517.0
A443060,HD현대마린솔루션,20240508.0
A126730,코칩,20240507.0
A452200,민테크,20240503.0
A140430,카티스,20240503.0
A347850,디앤디파마텍,20240502.0
A412540,제일엠앤에스,20240430.0
A451250,삐아,20240425.0
A478150,TIME 글로벌우주테크&방산액티브,20240423.0
A461030,아이엠비디엑스,20240403.0
A479080,1Q 머니마켓액티브,20240402.0
A475150,SK이터닉스,20240329.0
A455900,엔젤로보틱스,20240326.0
A420570,제이투케이바이오,20240325.0
A437730,삼현,20240321.0
A477490,에셋플러스 글로벌일등기업포커스10액티브,20240319.0
A199430,케이엔알시스템,20240307.0
A476450,KIWOOM 머니마켓액티브,20240229.0
A278470,에이피알,20240227.0
A476000,UNICORN 포스트IPO액티브,20240227.0
A360350,코셈,20240223.0
A418620,E8,20240223.0
A068100,케이웨더,20240222.0
A452430,사피엔반도체,20240219.0
A443670,에스피소프트,20240215.0
A415380,스튜디오삼익,20240206.0
A472850,폰드그룹,20240202.0
A452400,이닉스,20240201.0
A199550,레이저옵텍,20240201.0
A105760,포스뱅크,20240129.0
